2.1656 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
78.4014 	DATA 	Keypress: left
78.4151 	EXP 	fixation: autoDraw = False
78.4151 	EXP 	grating: autoDraw = False
78.4155 	EXP 	window1: recordFrameIntervals = False
79.3894 	EXP 	fixation: autoDraw = True
80.3982 	EXP 	fixation: autoDraw = False
80.4147 	EXP 	grating: autoDraw = True
80.4147 	EXP 	grating: tex = 'sin'
80.7145 	EXP 	grating: autoDraw = False
80.8832 	EXP 	window1: recordFrameIntervals = False
80.8840 	DATA 	Keypress: right
80.8982 	EXP 	fixation: autoDraw = False
80.8982 	EXP 	grating: autoDraw = False
80.8985 	EXP 	window1: recordFrameIntervals = False
81.8719 	EXP 	fixation: autoDraw = True
82.8813 	EXP 	fixation: autoDraw = False
82.8979 	EXP 	grating: autoDraw = True
82.8979 	EXP 	grating: tex = 'sin'
83.1978 	EXP 	grating: autoDraw = False
83.3666 	EXP 	window1: recordFrameIntervals = False
83.3673 	DATA 	Keypress: left
83.3811 	EXP 	fixation: autoDraw = False
83.3811 	EXP 	grating: autoDraw = False
83.3814 	EXP 	window1: recordFrameIntervals = False
84.3550 	EXP 	fixation: autoDraw = True
85.3641 	EXP 	fixation: autoDraw = False
85.3807 	EXP 	grating: autoDraw = True
85.3807 	EXP 	grating: tex = 'sin'
85.6806 	EXP 	grating: autoDraw = False
85.7164 	EXP 	window1: recordFrameIntervals = False
85.7171 	DATA 	Keypress: left
85.7307 	EXP 	fixation: autoDraw = False
85.7307 	EXP 	grating: autoDraw = False
85.7309 	EXP 	window1: recordFrameIntervals = False
86.7067 	EXP 	fixation: autoDraw = True
87.0822 	DATA 	Keypress: right
87.7138 	EXP 	fixation: autoDraw = False
87.7306 	EXP 	grating: autoDraw = True
87.7306 	EXP 	grating: tex = 'sin'
88.0306 	EXP 	grating: autoDraw = False
88.0328 	EXP 	window1: recordFrameIntervals = False
88.0339 	DATA 	Keypress: left
88.0471 	EXP 	fixation: autoDraw = False
88.0471 	EXP 	grating: autoDraw = False
88.0472 	EXP 	window1: recordFrameIntervals = False
89.0214 	EXP 	fixation: autoDraw = True
90.0302 	EXP 	fixation: autoDraw = False
90.0471 	EXP 	grating: autoDraw = True
90.0471 	EXP 	grating: tex = 'sin'
90.3472 	EXP 	grating: autoDraw = False
90.5660 	EXP 	window1: recordFrameIntervals = False
90.5669 	DATA 	Keypress: left
90.5802 	EXP 	fixation: autoDraw = False
90.5802 	EXP 	grating: autoDraw = False
90.5804 	EXP 	window1: recordFrameIntervals = False
91.5553 	EXP 	fixation: autoDraw = True
92.5629 	EXP 	fixation: autoDraw = False
92.5798 	EXP 	grating: autoDraw = True
92.5798 	EXP 	grating: tex = 'sin'
92.8482 	EXP 	window1: recordFrameIntervals = False
92.8489 	DATA 	Keypress: right
92.8636 	EXP 	fixation: autoDraw = False
92.8636 	EXP 	grating: autoDraw = False
92.8638 	EXP 	window1: recordFrameIntervals = False
93.8363 	EXP 	fixation: autoDraw = True
94.8463 	EXP 	fixation: autoDraw = False
94.8634 	EXP 	grating: autoDraw = True
94.8634 	EXP 	grating: tex = 'sin'
95.1633 	EXP 	grating: autoDraw = False
95.1822 	EXP 	window1: recordFrameIntervals = False
95.1830 	DATA 	Keypress: right
95.1965 	EXP 	fixation: autoDraw = False
95.1965 	EXP 	grating: autoDraw = False
95.1967 	EXP 	window1: recordFrameIntervals = False
96.1696 	EXP 	fixation: autoDraw = True
97.1791 	EXP 	fixation: autoDraw = False
97.1957 	EXP 	grating: autoDraw = True
97.1957 	EXP 	grating: tex = 'sin'
97.4956 	EXP 	grating: autoDraw = False
97.5966 	EXP 	window1: recordFrameIntervals = False
97.5972 	DATA 	Keypress: left
97.6123 	EXP 	fixation: autoDraw = False
97.6123 	EXP 	grating: autoDraw = False
97.6124 	EXP 	window1: recordFrameIntervals = False
98.5865 	EXP 	fixation: autoDraw = True
99.5958 	EXP 	fixation: autoDraw = False
99.5958 	EXP 	grating: autoDraw = True
99.5958 	EXP 	grating: tex = 'sin'
99.8963 	EXP 	grating: autoDraw = False
100.0306 	EXP 	window1: recordFrameIntervals = False
100.0313 	DATA 	Keypress: right
100.0461 	EXP 	fixation: autoDraw = False
100.0461 	EXP 	grating: autoDraw = False
100.0463 	EXP 	window1: recordFrameIntervals = False
101.0187 	EXP 	fixation: autoDraw = True
102.0292 	EXP 	fixation: autoDraw = False
102.0292 	EXP 	grating: autoDraw = True
102.0292 	EXP 	grating: tex = 'sin'
102.3286 	EXP 	grating: autoDraw = False
102.3637 	EXP 	window1: recordFrameIntervals = False
102.3647 	DATA 	Keypress: left
102.3787 	EXP 	fixation: autoDraw = False
102.3787 	EXP 	grating: autoDraw = False
102.3790 	EXP 	window1: recordFrameIntervals = False
103.3532 	EXP 	fixation: autoDraw = True
104.3615 	EXP 	fixation: autoDraw = False
104.3786 	EXP 	grating: autoDraw = True
104.3786 	EXP 	grating: tex = 'sin'
104.6781 	EXP 	grating: autoDraw = False
104.7639 	EXP 	window1: recordFrameIntervals = False
104.7650 	DATA 	Keypress: right
104.7786 	EXP 	fixation: autoDraw = False
104.7786 	EXP 	grating: autoDraw = False
104.7788 	EXP 	window1: recordFrameIntervals = False
105.7530 	EXP 	fixation: autoDraw = True
106.7613 	EXP 	fixation: autoDraw = False
106.7780 	EXP 	grating: autoDraw = True
106.7780 	EXP 	grating: tex = 'sin'
107.0291 	EXP 	window1: recordFrameIntervals = False
107.0297 	DATA 	Keypress: left
107.0447 	EXP 	fixation: autoDraw = False
107.0447 	EXP 	grating: autoDraw = False
107.0448 	EXP 	window1: recordFrameIntervals = False
108.0177 	EXP 	fixation: autoDraw = True
109.0276 	EXP 	fixation: autoDraw = False
109.0443 	EXP 	grating: autoDraw = True
109.0443 	EXP 	grating: tex = 'sin'
109.3443 	EXP 	grating: autoDraw = False
109.4791 	EXP 	window1: recordFrameIntervals = False
109.4796 	DATA 	Keypress: right
109.4947 	EXP 	fixation: autoDraw = False
109.4947 	EXP 	grating: autoDraw = False
109.4949 	EXP 	window1: recordFrameIntervals = False
110.4677 	EXP 	fixation: autoDraw = True
111.4774 	EXP 	fixation: autoDraw = False
111.4942 	EXP 	grating: autoDraw = True
111.4942 	EXP 	grating: tex = 'sin'
111.7939 	EXP 	grating: autoDraw = False
111.8452 	EXP 	window1: recordFrameIntervals = False
111.8457 	DATA 	Keypress: left
111.8605 	EXP 	fixation: autoDraw = False
111.8605 	EXP 	grating: autoDraw = False
111.8606 	EXP 	window1: recordFrameIntervals = False
112.8334 	EXP 	fixation: autoDraw = True
113.8439 	EXP 	fixation: autoDraw = False
113.8603 	EXP 	grating: autoDraw = True
113.8603 	EXP 	grating: tex = 'sin'
114.1605 	EXP 	grating: autoDraw = False
114.2780 	EXP 	window1: recordFrameIntervals = False
114.2785 	DATA 	Keypress: left
114.2938 	EXP 	fixation: autoDraw = False
114.2938 	EXP 	grating: autoDraw = False
114.2940 	EXP 	window1: recordFrameIntervals = False
115.2663 	EXP 	fixation: autoDraw = True
116.2771 	EXP 	fixation: autoDraw = False
116.2771 	EXP 	grating: autoDraw = True
116.2771 	EXP 	grating: tex = 'sin'
116.5768 	EXP 	grating: autoDraw = False
116.5783 	EXP 	window1: recordFrameIntervals = False
116.5789 	DATA 	Keypress: right
116.5934 	EXP 	fixation: autoDraw = False
116.5934 	EXP 	grating: autoDraw = False
116.5935 	EXP 	window1: recordFrameIntervals = False
117.5674 	EXP 	fixation: autoDraw = True
118.5764 	EXP 	fixation: autoDraw = False
118.5932 	EXP 	grating: autoDraw = True
118.5932 	EXP 	grating: tex = 'sin'
118.8777 	EXP 	window1: recordFrameIntervals = False
118.8786 	DATA 	Keypress: left
118.8933 	EXP 	grating: autoDraw = False
118.8933 	EXP 	fixation: autoDraw = False
118.8933 	EXP 	grating: autoDraw = False
118.8936 	EXP 	window1: recordFrameIntervals = False
119.8657 	EXP 	fixation: autoDraw = True
120.8763 	EXP 	fixation: autoDraw = False
120.8763 	EXP 	grating: autoDraw = True
120.8763 	EXP 	grating: tex = 'sin'
121.1761 	EXP 	grating: autoDraw = False
121.2772 	EXP 	window1: recordFrameIntervals = False
121.2780 	DATA 	Keypress: left
121.2929 	EXP 	fixation: autoDraw = False
121.2929 	EXP 	grating: autoDraw = False
121.2930 	EXP 	window1: recordFrameIntervals = False
122.2673 	EXP 	fixation: autoDraw = True
123.2762 	EXP 	fixation: autoDraw = False
123.2762 	EXP 	grating: autoDraw = True
123.2762 	EXP 	grating: tex = 'sin'
123.5760 	EXP 	grating: autoDraw = False
123.6774 	EXP 	window1: recordFrameIntervals = False
123.6781 	DATA 	Keypress: left
123.6926 	EXP 	fixation: autoDraw = False
123.6926 	EXP 	grating: autoDraw = False
123.6927 	EXP 	window1: recordFrameIntervals = False
124.6664 	EXP 	fixation: autoDraw = True
125.6757 	EXP 	fixation: autoDraw = False
125.6925 	EXP 	grating: autoDraw = True
125.6925 	EXP 	grating: tex = 'sin'
125.9922 	EXP 	grating: autoDraw = False
126.0618 	EXP 	window1: recordFrameIntervals = False
126.0631 	DATA 	Keypress: left
126.0758 	EXP 	fixation: autoDraw = False
126.0758 	EXP 	grating: autoDraw = False
126.0760 	EXP 	window1: recordFrameIntervals = False
127.0507 	EXP 	fixation: autoDraw = True
128.0587 	EXP 	fixation: autoDraw = False
128.0755 	EXP 	grating: autoDraw = True
128.0755 	EXP 	grating: tex = 'sin'
128.3751 	EXP 	grating: autoDraw = False
128.5099 	EXP 	window1: recordFrameIntervals = False
128.5106 	DATA 	Keypress: right
128.5253 	EXP 	fixation: autoDraw = False
128.5253 	EXP 	grating: autoDraw = False
128.5254 	EXP 	window1: recordFrameIntervals = False
129.5195 	EXP 	fixation: autoDraw = True
130.5084 	EXP 	grating: autoDraw = True
130.5084 	EXP 	grating: tex = 'sin'
130.5251 	EXP 	fixation: autoDraw = False
130.8083 	EXP 	grating: autoDraw = False
130.9097 	EXP 	window1: recordFrameIntervals = False
130.9103 	DATA 	Keypress: right
130.9250 	EXP 	fixation: autoDraw = False
130.9250 	EXP 	grating: autoDraw = False
130.9251 	EXP 	window1: recordFrameIntervals = False
131.8974 	EXP 	fixation: autoDraw = True
132.9078 	EXP 	fixation: autoDraw = False
132.9245 	EXP 	grating: autoDraw = True
132.9245 	EXP 	grating: tex = 'sin'
133.2250 	EXP 	grating: autoDraw = False
133.3255 	EXP 	window1: recordFrameIntervals = False
133.3262 	DATA 	Keypress: left
133.3412 	EXP 	fixation: autoDraw = False
133.3412 	EXP 	grating: autoDraw = False
133.3414 	EXP 	window1: recordFrameIntervals = False
134.3133 	EXP 	fixation: autoDraw = True
135.3245 	EXP 	fixation: autoDraw = False
135.3245 	EXP 	grating: autoDraw = True
135.3245 	EXP 	grating: tex = 'sin'
135.6242 	EXP 	grating: autoDraw = False
135.6923 	EXP 	window1: recordFrameIntervals = False
135.6930 	DATA 	Keypress: left
135.7078 	EXP 	fixation: autoDraw = False
135.7078 	EXP 	grating: autoDraw = False
135.7079 	EXP 	window1: recordFrameIntervals = False
136.6805 	EXP 	fixation: autoDraw = True
137.6906 	EXP 	fixation: autoDraw = False
137.7074 	EXP 	grating: autoDraw = True
137.7074 	EXP 	grating: tex = 'sin'
138.0074 	EXP 	grating: autoDraw = False
138.1250 	EXP 	window1: recordFrameIntervals = False
138.1256 	DATA 	Keypress: right
138.1411 	EXP 	fixation: autoDraw = False
138.1411 	EXP 	grating: autoDraw = False
138.1412 	EXP 	window1: recordFrameIntervals = False
139.1145 	EXP 	fixation: autoDraw = True
140.1240 	EXP 	fixation: autoDraw = False
140.1240 	EXP 	grating: autoDraw = True
140.1240 	EXP 	grating: tex = 'sin'
140.4241 	EXP 	grating: autoDraw = False
140.5250 	EXP 	window1: recordFrameIntervals = False
140.5260 	DATA 	Keypress: left
140.5405 	EXP 	fixation: autoDraw = False
140.5405 	EXP 	grating: autoDraw = False
140.5407 	EXP 	window1: recordFrameIntervals = False
141.5143 	EXP 	fixation: autoDraw = True
142.5235 	EXP 	fixation: autoDraw = False
142.5235 	EXP 	grating: autoDraw = True
142.5235 	EXP 	grating: tex = 'sin'
142.8239 	EXP 	grating: autoDraw = False
142.8748 	EXP 	window1: recordFrameIntervals = False
142.8760 	DATA 	Keypress: left
142.8906 	EXP 	fixation: autoDraw = False
142.8906 	EXP 	grating: autoDraw = False
142.8908 	EXP 	window1: recordFrameIntervals = False
143.8633 	EXP 	fixation: autoDraw = True
